cram_url	run_id	id	population
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240189/HG00451.final.cram	ERR3240189	HG00451	CHS
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240190/HG00452.final.cram	ERR3240190	HG00452	CHS
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240191/HG00463.final.cram	ERR3240191	HG00463	CHS
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240192/HG00464.final.cram	ERR3240192	HG00464	CHS
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240193/HG00118.final.cram	ERR3240193	HG00118	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240194/HG00119.final.cram	ERR3240194	HG00119	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240195/HG00121.final.cram	ERR3240195	HG00121	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240196/HG00122.final.cram	ERR3240196	HG00122	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240197/HG00123.final.cram	ERR3240197	HG00123	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240198/HG00125.final.cram	ERR3240198	HG00125	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240199/HG00126.final.cram	ERR3240199	HG00126	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240200/HG00159.final.cram	ERR3240200	HG00159	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240201/HG00231.final.cram	ERR3240201	HG00231	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240202/HG00232.final.cram	ERR3240202	HG00232	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240203/HG00236.final.cram	ERR3240203	HG00236	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240204/HG00237.final.cram	ERR3240204	HG00237	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240205/HG00239.final.cram	ERR3240205	HG00239	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239502/NA18595.final.cram	ERR3239502	NA18595	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239503/NA18596.final.cram	ERR3239503	NA18596	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239504/NA18597.final.cram	ERR3239504	NA18597	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239505/NA18599.final.cram	ERR3239505	NA18599	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239506/NA18602.final.cram	ERR3239506	NA18602	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239507/NA18606.final.cram	ERR3239507	NA18606	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239508/NA18610.final.cram	ERR3239508	NA18610	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239509/NA18611.final.cram	ERR3239509	NA18611	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239510/NA18612.final.cram	ERR3239510	NA18612	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239511/NA18613.final.cram	ERR3239511	NA18613	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239512/NA18615.final.cram	ERR3239512	NA18615	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239513/NA18616.final.cram	ERR3239513	NA18616	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239514/NA18617.final.cram	ERR3239514	NA18617	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239515/NA18618.final.cram	ERR3239515	NA18618	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239516/NA18619.final.cram	ERR3239516	NA18619	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239517/NA18620.final.cram	ERR3239517	NA18620	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239518/NA18621.final.cram	ERR3239518	NA18621	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239519/NA18622.final.cram	ERR3239519	NA18622	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239520/NA18623.final.cram	ERR3239520	NA18623	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239521/NA18624.final.cram	ERR3239521	NA18624	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239522/NA18625.final.cram	ERR3239522	NA18625	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239523/NA18626.final.cram	ERR3239523	NA18626	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239854/NA20774.final.cram	ERR3239854	NA20774	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239855/NA20775.final.cram	ERR3239855	NA20775	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239856/NA20778.final.cram	ERR3239856	NA20778	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239857/NA20783.final.cram	ERR3239857	NA20783	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239858/NA20785.final.cram	ERR3239858	NA20785	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239859/NA20786.final.cram	ERR3239859	NA20786	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239860/NA20787.final.cram	ERR3239860	NA20787	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239861/NA20790.final.cram	ERR3239861	NA20790	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239862/NA20792.final.cram	ERR3239862	NA20792	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239863/NA20795.final.cram	ERR3239863	NA20795	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239864/NA20796.final.cram	ERR3239864	NA20796	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239865/NA20797.final.cram	ERR3239865	NA20797	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239866/NA20798.final.cram	ERR3239866	NA20798	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239867/NA20799.final.cram	ERR3239867	NA20799	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239868/NA20800.final.cram	ERR3239868	NA20800	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239869/NA20801.final.cram	ERR3239869	NA20801	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239870/NA20802.final.cram	ERR3239870	NA20802	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239871/NA20803.final.cram	ERR3239871	NA20803	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239872/NA20804.final.cram	ERR3239872	NA20804	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239873/NA20805.final.cram	ERR3239873	NA20805	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239874/NA20806.final.cram	ERR3239874	NA20806	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239875/NA20807.final.cram	ERR3239875	NA20807	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240206/HG00242.final.cram	ERR3240206	HG00242	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240207/HG00243.final.cram	ERR3240207	HG00243	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240208/HG00244.final.cram	ERR3240208	HG00244	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240209/HG00245.final.cram	ERR3240209	HG00245	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240210/HG00252.final.cram	ERR3240210	HG00252	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240211/HG00253.final.cram	ERR3240211	HG00253	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240212/HG00254.final.cram	ERR3240212	HG00254	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240213/HG00256.final.cram	ERR3240213	HG00256	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240214/HG00257.final.cram	ERR3240214	HG00257	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240215/HG00258.final.cram	ERR3240215	HG00258	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240216/HG00259.final.cram	ERR3240216	HG00259	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240217/HG00260.final.cram	ERR3240217	HG00260	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240218/HG00261.final.cram	ERR3240218	HG00261	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240219/HG00262.final.cram	ERR3240219	HG00262	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240220/HG00263.final.cram	ERR3240220	HG00263	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240221/HG00264.final.cram	ERR3240221	HG00264	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240222/HG00265.final.cram	ERR3240222	HG00265	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240223/HG00266.final.cram	ERR3240223	HG00266	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240224/HG00267.final.cram	ERR3240224	HG00267	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240225/HG00268.final.cram	ERR3240225	HG00268	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240226/HG00269.final.cram	ERR3240226	HG00269	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240227/HG00271.final.cram	ERR3240227	HG00271	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239524/NA18627.final.cram	ERR3239524	NA18627	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239525/NA18628.final.cram	ERR3239525	NA18628	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239526/NA18630.final.cram	ERR3239526	NA18630	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239527/NA18631.final.cram	ERR3239527	NA18631	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239528/NA18632.final.cram	ERR3239528	NA18632	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239529/NA18633.final.cram	ERR3239529	NA18633	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239530/NA18634.final.cram	ERR3239530	NA18634	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239531/NA18635.final.cram	ERR3239531	NA18635	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239532/NA18636.final.cram	ERR3239532	NA18636	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239533/NA18637.final.cram	ERR3239533	NA18637	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239534/NA18639.final.cram	ERR3239534	NA18639	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239535/NA18640.final.cram	ERR3239535	NA18640	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239536/NA18641.final.cram	ERR3239536	NA18641	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239537/NA18642.final.cram	ERR3239537	NA18642	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239538/NA18643.final.cram	ERR3239538	NA18643	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239539/NA18645.final.cram	ERR3239539	NA18645	CHB
